time|count
2010-08-26|76
2010-08-27|59
2010-08-28|59
2010-08-29|64
2010-08-30|78
2010-08-31|57
2010-09-01|66
2010-09-02|50
2010-09-03|47
2010-09-04|41
2010-09-05|42
2010-09-06|51
2010-09-07|70
2010-09-08|67
2010-09-09|72
2010-09-10|66
2010-09-11|67
2010-09-12|61
2010-09-13|99
2010-09-14|101
2010-09-15|93
2010-09-16|87
2010-09-17|50
2010-09-18|71
2010-09-19|83
2010-09-20|80
2010-09-21|98
2010-09-22|79
2010-09-23|85
2010-09-24|91
2010-09-25|74
2010-09-26|76
2010-09-27|111
2010-09-28|84
2010-09-29|66
2010-09-30|73
2010-10-01|86
2010-10-02|95
2010-10-03|276
2010-10-04|767
2010-10-05|536
2010-10-06|287
2010-10-07|318
2010-10-08|155
2010-10-09|102
2010-10-10|274
2010-10-11|119
2010-10-12|146
2010-10-13|389
2010-10-14|381
2010-10-15|994
2010-10-16|1252
2010-10-17|817
2010-10-18|1271
2010-10-19|1263
2010-10-20|1118
2010-10-21|1277
2010-10-22|1759
2010-10-23|1153
2010-10-24|362
2010-10-25|309
2010-10-26|214
2010-10-27|153
2010-10-28|124
2010-10-29|803
2010-10-30|1258
2010-10-31|1511
2010-11-01|2636
2010-11-02|2678
2010-11-03|1748
2010-11-04|1418
2010-11-05|1103
2010-11-06|1295
2010-11-07|1578
2010-11-08|2355
2010-11-09|1611
2010-11-10|1205
2010-11-11|1072
2010-11-12|737
2010-11-13|523
2010-11-14|500
2010-11-15|628
2010-11-16|726
2010-11-17|973
2010-11-18|1054
2010-11-19|1420
2010-11-20|1080
2010-11-21|1227
2010-11-22|682
2010-11-23|503
2010-11-24|1274
2010-11-25|895
2010-11-26|961
2010-11-27|1787
2010-11-28|1324
2010-11-29|1435
2010-11-30|1034
2010-12-01|964
2010-12-02|1592
2010-12-03|1475
2010-12-04|1757
2010-12-05|1804
2010-12-06|2736
2010-12-07|2723
2010-12-08|2322
2010-12-09|2462
2010-12-10|2114
2010-12-11|1120
2010-12-12|747
2010-12-13|1321
2010-12-14|2980
2010-12-15|3048
2010-12-16|2475
2010-12-17|1558
2010-12-18|1257
2010-12-19|1149
2010-12-20|1634
2010-12-21|1727
2010-12-22|1400
2010-12-23|1510
2010-12-24|1041
2010-12-25|948
2010-12-26|0
2010-12-27|0
2010-12-28|0
2010-12-29|0
2010-12-30|0
2010-12-31|0
2011-01-01|563
2011-01-02|632
2011-01-03|1211
2011-01-04|1079
2011-01-05|1000
2011-01-06|1114
2011-01-07|1155
2011-01-08|1256
2011-01-09|1173
2011-01-10|1641
2011-01-11|1487
2011-01-12|1450
2011-01-13|1680
2011-01-14|1635
2011-01-15|1146
2011-01-16|867
2011-01-17|1558
2011-01-18|1402
2011-01-19|911
2011-01-20|960
2011-01-21|1251
2011-01-22|1804
2011-01-23|1982
2011-01-24|3341
2011-01-25|1986
2011-01-26|1396
2011-01-27|963
2011-01-28|807
2011-01-29|726
2011-01-30|661
2011-01-31|1138
2011-02-01|1296
2011-02-02|1054
2011-02-03|961
2011-02-04|933
2011-02-05|790
2011-02-06|607
2011-02-07|617
2011-02-08|949
2011-02-09|1655
2011-02-10|1263
2011-02-11|963
2011-02-12|781
2011-02-13|674
2011-02-14|678
2011-02-15|1133
2011-02-16|765
2011-02-17|482
2011-02-18|378
2011-02-19|1081
2011-02-20|1329
2011-02-21|1020
2011-02-22|1328
2011-02-23|1155
2011-02-24|732
2011-02-25|586
2011-02-26|597
2011-02-27|468
2011-02-28|549
2011-03-01|715
2011-03-02|834
2011-03-03|1180
2011-03-04|868
2011-03-05|428
2011-03-06|492
2011-03-07|608
2011-03-08|735
2011-03-09|892
2011-03-10|905
2011-03-11|471
2011-03-12|461
2011-03-13|493
2011-03-14|710
2011-03-15|751
2011-03-16|501
2011-03-17|337
2011-03-18|210
2011-03-19|553
2011-03-20|677
2011-03-21|863
2011-03-22|662
2011-03-23|774
2011-03-24|764
2011-03-25|771
2011-03-26|951
2011-03-27|886
2011-03-28|1139
2011-03-29|884
2011-03-30|624
2011-03-31|671
2011-04-01|552
2011-04-02|424
2011-04-03|370
2011-04-04|387
2011-04-05|522
2011-04-06|573
2011-04-07|551
2011-04-08|496
2011-04-09|353
2011-04-10|397
2011-04-11|248
2011-04-12|325
2011-04-13|679
2011-04-14|263
2011-04-15|430
2011-04-16|865
2011-04-17|287
2011-04-18|406
2011-04-19|582
2011-04-20|455
2011-04-21|442
2011-04-22|720
2011-04-23|477
2011-04-24|153
2011-04-25|170
2011-04-26|122
2011-04-27|148
2011-04-28|147
2011-04-29|88
2011-04-30|168
2011-05-01|201
2011-05-02|281
2011-05-03|193
2011-05-04|401
2011-05-05|324
2011-05-06|199
2011-05-07|123
2011-05-08|106
2011-05-09|143
2011-05-10|151
2011-05-11|163
2011-05-12|99
2011-05-13|109
2011-05-14|81
2011-05-15|95
2011-05-16|172
2011-05-17|234
2011-05-18|167
2011-05-19|127
2011-05-20|93
2011-05-21|87
2011-05-22|87
2011-05-23|136
2011-05-24|101
2011-05-25|79
2011-05-26|70
2011-05-27|65
2011-05-28|53
2011-05-29|64
2011-05-30|69
2011-05-31|96
2011-06-01|97
2011-06-02|70
2011-06-03|79
2011-06-04|64
2011-06-05|63
2011-06-06|56
2011-06-07|79
2011-06-08|86
2011-06-09|94
2011-06-10|67
2011-06-11|81
2011-06-12|62
2011-06-13|72
2011-06-14|73
2011-06-15|84
2011-06-16|63
2011-06-17|54
2011-06-18|54
2011-06-19|50
2011-06-20|82
2011-06-21|82
2011-06-22|81
2011-06-23|71
2011-06-24|54
2011-06-25|42
2011-06-26|53
2011-06-27|49
2011-06-28|75
2011-06-29|60
2011-06-30|50
2011-07-01|48
2011-07-02|45
2011-07-03|46
2011-07-04|58
2011-07-05|79
2011-07-06|64
2011-07-07|75
2011-07-08|55
2011-07-09|47
2011-07-10|41
2011-07-11|65
2011-07-12|71
2011-07-13|72
2011-07-14|60
2011-07-15|70
2011-07-16|54
2011-07-17|57
2011-07-18|67
2011-07-19|57
2011-07-20|56
2011-07-21|45
2011-07-22|56
2011-07-23|59
2011-07-24|52
2011-07-25|55
2011-07-26|57
2011-07-27|50
2011-07-28|76
2011-07-29|57
2011-07-30|52
2011-07-31|48
2011-08-01|69
2011-08-02|75
2011-08-03|59
2011-08-04|48
2011-08-05|40
2011-08-06|44
2011-08-07|47
2011-08-08|55
2011-08-09|67
2011-08-10|59
2011-08-11|50
2011-08-12|40
2011-08-13|49
2011-08-14|80
2011-08-15|123
2011-08-16|86
2011-08-17|63
2011-08-18|61
2011-08-19|66
2011-08-20|31
2011-08-21|59
2011-08-22|109
2011-08-23|66
2011-08-24|71
2011-08-25|57
2011-08-26|27
2011-08-27|26
2011-08-28|12
2011-08-29|121
2011-08-30|107
2011-08-31|77
2011-09-01|68
2011-09-02|60
2011-09-03|57
2011-09-04|57
2011-09-05|59
2011-09-06|79
2011-09-07|91
2011-09-08|87
2011-09-09|71
2011-09-10|55
2011-09-11|75
2011-09-12|82
2011-09-13|68
2011-09-14|85
2011-09-15|67
2011-09-16|88
2011-09-17|91
2011-09-18|86
2011-09-19|108
2011-09-20|89
2011-09-21|84
2011-09-22|79
2011-09-23|74
2011-09-24|1
2011-09-25|93
2011-09-26|84
2011-09-27|64
2011-09-28|72
2011-09-29|69
2011-09-30|55
2011-10-01|74
2011-10-02|157
2011-10-03|607
2011-10-04|552
2011-10-05|223
2011-10-06|384
2011-10-07|314
2011-10-08|150
2011-10-09|82
2011-10-10|101
2011-10-11|103
2011-10-12|141
2011-10-13|153
2011-10-14|99
2011-10-15|199
2011-10-16|218
2011-10-17|240
2011-10-18|255
2011-10-19|247
2011-10-20|186
2011-10-21|965
2011-10-22|1033
2011-10-23|882
2011-10-24|972
2011-10-25|989
2011-10-26|989
2011-10-27|1958
2011-10-28|2997
2011-10-29|2310
2011-10-30|2422
2011-10-31|2177
2011-11-01|1405
2011-11-02|1228
2011-11-03|888
2011-11-04|1312
2011-11-05|1438
2011-11-06|920
2011-11-07|703
2011-11-08|428
2011-11-09|403
2011-11-10|299
2011-11-11|1524
2011-11-12|1181
2011-11-13|639
2011-11-14|577
2011-11-15|313
2011-11-16|435
2011-11-17|1508
2011-11-18|1795
2011-11-19|1176
2011-11-20|593
2011-11-21|827
2011-11-22|1031
2011-11-23|978
2011-11-24|754
2011-11-25|539
2011-11-26|348
2011-11-27|397
2011-11-28|309
2011-11-29|363
2011-11-30|1145
2011-12-01|1405
2011-12-02|992
2011-12-03|1191
2011-12-04|666
2011-12-05|699
2011-12-06|495
2011-12-07|705
2011-12-08|1621
2011-12-09|1120
2011-12-10|1236
2011-12-11|1551
2011-12-12|1658
2011-12-13|1583
2011-12-14|992
2011-12-15|672
2011-12-16|836
2011-12-17|1099
2011-12-18|1967
2011-12-19|1674
2011-12-20|926
2011-12-21|618
2011-12-22|473
2011-12-23|667
2011-12-24|992
2011-12-25|761
2011-12-26|2396
2011-12-27|2519
2011-12-28|3063
2011-12-29|3161
2011-12-30|1714
2011-12-31|1149
2012-01-01|409
2012-01-02|1055
2012-01-03|2452
2012-01-04|3807
2012-01-05|1729
2012-01-06|858
2012-01-07|475
2012-01-08|774
2012-01-09|995
2012-01-10|927
2012-01-11|836
2012-01-12|871
2012-01-13|1339
2012-01-14|1721
2012-01-15|2167
2012-01-16|2467
2012-01-17|1320
2012-01-18|1209
2012-01-19|1549
2012-01-20|1378
2012-01-21|1766
2012-01-22|1552
2012-01-23|1152
2012-01-24|628
2012-01-25|777
2012-01-26|815
2012-01-27|604
2012-01-28|649
2012-01-29|792
2012-01-30|1069
2012-01-31|667
2012-02-01|430
2012-02-02|700
2012-02-03|795
2012-02-04|689
2012-02-05|736
2012-02-06|776
2012-02-07|740
2012-02-08|1045
2012-02-09|830
2012-02-10|680
2012-02-11|797
2012-02-12|1335
2012-02-13|1329
2012-02-14|727
2012-02-15|641
2012-02-16|699
2012-02-17|569
2012-02-18|520
2012-02-19|596
2012-02-20|884
2012-02-21|704
2012-02-22|439
2012-02-23|428
2012-02-24|624
2012-02-25|899
2012-02-26|908
2012-02-27|578
2012-02-28|728
2012-02-29|752
2012-03-01|727
2012-03-02|748
2012-03-03|468
2012-03-04|640
2012-03-05|934
2012-03-06|1072
2012-03-07|448
2012-03-08|313
2012-03-09|574
2012-03-10|800
2012-03-11|456
2012-03-12|326
2012-03-13|211
2012-03-14|235
2012-03-15|478
2012-03-16|488
2012-03-17|324
2012-03-18|342
2012-03-19|207
2012-03-20|213
2012-03-21|202
2012-03-22|143
2012-03-23|134
2012-03-24|180
2012-03-25|524
2012-03-26|954
2012-03-27|1061
2012-03-28|383
2012-03-29|488
2012-03-30|507
2012-03-31|773
2012-04-01|517
2012-04-02|564
2012-04-03|431
2012-04-04|234
2012-04-05|431
2012-04-06|558
2012-04-07|427
2012-04-08|304
2012-04-09|359
2012-04-10|334
2012-04-11|524
2012-04-12|360
2012-04-13|241
2012-04-14|170
2012-04-15|89
2012-04-16|115
2012-04-17|114
2012-04-18|172
2012-04-19|153
2012-04-20|119
2012-04-21|97
2012-04-22|386
2012-04-23|628
2012-04-24|751
2012-04-25|486
2012-04-26|529
2012-04-27|760
2012-04-28|701
2012-04-29|244
2012-04-30|421
2012-05-01|237
2012-05-02|422
2012-05-03|274
2012-05-04|152
2012-05-05|121
2012-05-06|127
2012-05-07|199
2012-05-08|197
2012-05-09|150
2012-05-10|153
2012-05-11|172
2012-05-12|97
2012-05-13|50
2012-05-14|118
2012-05-15|118
2012-05-16|109
2012-05-17|96
2012-05-18|74
2012-05-19|104
2012-05-20|75
2012-05-21|117
2012-05-22|106
2012-05-23|98
2012-05-24|110
2012-05-25|100
2012-05-26|78
2012-05-27|64
2012-05-28|89
2012-05-29|129
2012-05-30|83
2012-05-31|101
2012-06-01|67
2012-06-02|71
2012-06-03|82
2012-06-04|109
2012-06-05|95
2012-06-06|99
2012-06-07|85
2012-06-08|68
2012-06-09|63
2012-06-10|58
2012-06-11|86
2012-06-12|87
2012-06-13|65
2012-06-14|74
2012-06-15|66
2012-06-16|63
2012-06-17|68
2012-06-18|88
2012-06-19|96
2012-06-20|76
2012-06-21|78
2012-06-22|89
2012-06-23|78
2012-06-24|46
2012-06-25|115
2012-06-26|83
2012-06-27|72
2012-06-28|56
2012-06-29|132
2012-06-30|58
2012-07-01|52
2012-07-02|80
2012-07-03|63
2012-07-04|61
2012-07-05|78
2012-07-06|135
2012-07-07|84
2012-07-08|72
2012-07-09|77
2012-07-10|85
2012-07-11|59
2012-07-12|121
2012-07-13|103
2012-07-14|56
2012-07-15|74
2012-07-16|81
2012-07-17|59
2012-07-18|67
2012-07-19|70
2012-07-20|90
2012-07-21|48
2012-07-22|56
2012-07-23|70
2012-07-24|79
2012-07-25|56
2012-07-26|63
2012-07-27|54
2012-07-28|76
2012-07-29|62
2012-07-30|85
2012-07-31|83
2012-08-01|112
2012-08-02|59
2012-08-03|83
2012-08-04|53
2012-08-05|55
2012-08-06|97
2012-08-07|88
2012-08-08|83
2012-08-09|59
2012-08-10|57
2012-08-11|54
2012-08-12|59
2012-08-13|101
2012-08-14|77
2012-08-15|83
2012-08-16|83
2012-08-17|53
2012-08-18|47
2012-08-19|86
2012-08-20|99
2012-08-21|82
2012-08-22|108
2012-08-23|55
2012-08-24|72
2012-08-25|72
2012-08-26|52
2012-08-27|69
2012-08-28|92
2012-08-29|77
2012-08-30|64
2012-08-31|57
2012-09-01|41
2012-09-02|62
2012-09-03|53
2012-09-04|92
2012-09-05|71
2012-09-06|83
2012-09-07|72
2012-09-08|66
2012-09-09|67
2012-09-10|112
2012-09-11|92
2012-09-12|82
2012-09-13|84
2012-09-14|60
2012-09-15|79
2012-09-16|47
2012-09-17|46
2012-09-18|103
2012-09-19|95
2012-09-20|83
2012-09-21|70
2012-09-22|60
2012-09-23|73
2012-09-24|117
2012-09-25|98
2012-09-26|116
2012-09-27|69
2012-09-28|67
2012-09-29|55
2012-09-30|74
2012-10-01|134
2012-10-02|99
2012-10-03|96
2012-10-04|95
2012-10-05|80
2012-10-06|86
2012-10-07|339
2012-10-08|873
2012-10-09|823
2012-10-10|507
2012-10-11|1097
2012-10-12|1635
2012-10-13|1751
2012-10-14|428
2012-10-15|298
2012-10-16|589
2012-10-17|695
2012-10-18|413
2012-10-19|217
2012-10-20|144
2012-10-21|251
2012-10-22|407
2012-10-23|240
2012-10-24|329
2012-10-25|311
2012-10-26|243
2012-10-27|209
2012-10-28|112
2012-10-29|39
2012-10-30|11
2012-10-31|472
2012-11-01|1260
2012-11-02|2437
2012-11-03|1911
2012-11-04|1633
2012-11-05|2393
2012-11-06|2297
2012-11-07|2950
2012-11-08|2122
2012-11-09|1494
2012-11-10|794
2012-11-11|440
2012-11-12|507
2012-11-13|993
2012-11-14|1453
2012-11-15|1322
2012-11-16|1274
2012-11-17|923
2012-11-18|883
2012-11-19|1156
2012-11-20|969
2012-11-21|729
2012-11-22|455
2012-11-23|568
2012-11-24|1243
2012-11-25|1569
2012-11-26|1446
2012-11-27|1485
2012-11-28|1376
2012-11-29|1346
2012-11-30|1133
2012-12-01|964
2012-12-02|534
2012-12-03|478
2012-12-04|499
2012-12-05|954
2012-12-06|1412
2012-12-07|986
2012-12-08|561
2012-12-09|598
2012-12-10|507
2012-12-11|753
2012-12-12|961
2012-12-13|1023
2012-12-14|881
2012-12-15|734
2012-12-16|725
2012-12-17|908
2012-12-18|715
2012-12-19|950
2012-12-20|848
2012-12-21|973
2012-12-22|1479
2012-12-23|1055
2012-12-24|848
2012-12-25|650
2012-12-26|1805
2012-12-27|1509
2012-12-28|1515
2012-12-29|1208
2012-12-30|0
2012-12-31|0
2013-01-01|1051
2013-01-02|1862
2013-01-03|1780
2013-01-04|1311
2013-01-05|1020
2013-01-06|765
2013-01-07|849
2013-01-08|883
2013-01-09|664
2013-01-10|730
2013-01-11|675
2013-01-12|566
2013-01-13|521
2013-01-14|559
2013-01-15|953
2013-01-16|1056
2013-01-17|621
2013-01-18|1526
2013-01-19|1059
2013-01-20|297
2013-01-21|1825
2013-01-22|2760
2013-01-23|2902
2013-01-24|5910
2013-01-25|3423
2013-01-26|2525
2013-01-27|1751
2013-01-28|1583
2013-01-29|890
2013-01-30|654
2013-01-31|924
2013-02-01|1372
2013-02-02|1542
2013-02-03|1241
2013-02-04|1579
2013-02-05|1238
2013-02-06|978
2013-02-07|1236
2013-02-08|1413
2013-02-09|1231
2013-02-10|1170
2013-02-11|936
2013-02-12|690
2013-02-13|690
2013-02-14|647
2013-02-15|528
2013-02-16|794
2013-02-17|1361
2013-02-18|1864
2013-02-19|865
2013-02-20|868
2013-02-21|1794
2013-02-22|1005
2013-02-23|687
2013-02-24|611
2013-02-25|780
2013-02-26|749
2013-02-27|829
2013-02-28|568
2013-03-01|583
2013-03-02|621
2013-03-03|757
2013-03-04|1056
2013-03-05|693
2013-03-06|1023
2013-03-07|934
2013-03-08|846
2013-03-09|501
2013-03-10|470
2013-03-11|585
2013-03-12|560
2013-03-13|557
2013-03-14|939
2013-03-15|777
2013-03-16|671
2013-03-17|688
2013-03-18|1089
2013-03-19|818
2013-03-20|666
2013-03-21|689
2013-03-22|726
2013-03-23|609
2013-03-24|486
2013-03-25|748
2013-03-26|480
2013-03-27|496
2013-03-28|516
2013-03-29|429
2013-03-30|338
2013-03-31|366
2013-04-01|481
2013-04-02|804
2013-04-03|762
2013-04-04|636
2013-04-05|368
2013-04-06|465
2013-04-07|391
2013-04-08|318
2013-04-09|288
2013-04-10|200
2013-04-11|176
2013-04-12|726
2013-04-13|405
2013-04-14|314
2013-04-15|493
2013-04-16|340
2013-04-17|208
2013-04-18|275
2013-04-19|181
2013-04-20|337
2013-04-21|673
2013-04-22|744
2013-04-23|947
2013-04-24|316
2013-04-25|286
2013-04-26|172
2013-04-27|214
2013-04-28|161
2013-04-29|287
2013-04-30|227
2013-05-01|205
2013-05-02|180
2013-05-03|153
2013-05-04|168
2013-05-05|298
2013-05-06|253
2013-05-07|183
2013-05-08|168
2013-05-09|187
2013-05-10|74
2013-05-11|177
2013-05-12|122
2013-05-13|431
2013-05-14|407
2013-05-15|173
2013-05-16|136
2013-05-17|92
2013-05-18|122
2013-05-19|122
2013-05-20|137
2013-05-21|116
2013-05-22|118
2013-05-23|87
2013-05-24|158
2013-05-25|488
2013-05-26|247
2013-05-27|129
2013-05-28|133
2013-05-29|118
2013-05-30|88
2013-05-31|65
2013-06-01|75
2013-06-02|85
2013-06-03|88
2013-06-04|74
2013-06-05|93
2013-06-06|77
2013-06-07|62
2013-06-08|64
2013-06-09|85
2013-06-10|103
2013-06-11|90
2013-06-12|111
2013-06-13|94
2013-06-14|82
2013-06-15|87
2013-06-16|71
2013-06-17|97
2013-06-18|95
2013-06-19|99
2013-06-20|90
2013-06-21|62
2013-06-22|52
2013-06-23|61
2013-06-24|86
2013-06-25|74
2013-06-26|96
2013-06-27|82
2013-06-28|77
2013-06-29|44
2013-06-30|62
2013-07-01|77
2013-07-02|66
2013-07-03|68
2013-07-04|53
2013-07-05|52
2013-07-06|51
2013-07-07|73
2013-07-08|92
2013-07-09|79
2013-07-10|79
2013-07-11|74
2013-07-12|58
2013-07-13|54
2013-07-14|41
2013-07-15|82
2013-07-16|79
2013-07-17|80
2013-07-18|81
2013-07-19|60
2013-07-20|38
2013-07-21|63
2013-07-22|69
2013-07-23|74
2013-07-24|63
2013-07-25|68
2013-07-26|52
2013-07-27|38
2013-07-28|70
2013-07-29|94
2013-07-30|77
2013-07-31|69
2013-08-01|72
2013-08-02|81
2013-08-03|61
2013-08-04|36
2013-08-05|76
2013-08-06|75
2013-08-07|74
2013-08-08|68
2013-08-09|78
2013-08-10|39
2013-08-11|48
2013-08-12|81
2013-08-13|71
2013-08-14|69
2013-08-15|75
2013-08-16|57
2013-08-17|49
2013-08-18|41
2013-08-19|89
2013-08-20|75
2013-08-21|60
2013-08-22|95
2013-08-23|62
2013-08-24|51
2013-08-25|49
2013-08-26|73
2013-08-27|63
2013-08-28|55
2013-08-29|73
2013-08-30|67
2013-08-31|54
2013-09-01|54
2013-09-02|79
2013-09-03|97
2013-09-04|71
2013-09-05|65
2013-09-06|71
2013-09-07|50
2013-09-08|77
2013-09-09|86
2013-09-10|82
2013-09-11|51
2013-09-12|59
2013-09-13|57
2013-09-14|54
2013-09-15|73
2013-09-16|117
2013-09-17|125
2013-09-18|87
2013-09-19|64
2013-09-20|99
2013-09-21|65
2013-09-22|84
2013-09-23|124
2013-09-24|126
2013-09-25|119
2013-09-26|103
2013-09-27|96
2013-09-28|67
2013-09-29|80
2013-09-30|102
2013-10-01|116
2013-10-02|80
2013-10-03|89
2013-10-04|66
2013-10-05|65
2013-10-06|74
2013-10-07|79
2013-10-08|116
2013-10-09|189
2013-10-10|272
2013-10-11|125
2013-10-12|91
2013-10-13|91
2013-10-14|182
2013-10-15|191
2013-10-16|156
2013-10-17|104
2013-10-18|119
2013-10-19|165
2013-10-20|355
2013-10-21|508
2013-10-22|395
2013-10-23|1597
2013-10-24|2434
2013-10-25|2166
2013-10-26|1287
2013-10-27|803
2013-10-28|871
2013-10-29|1112
2013-10-30|755
2013-10-31|372
2013-11-01|188
2013-11-02|161
2013-11-03|1110
2013-11-04|1781
2013-11-05|1215
2013-11-06|609
2013-11-07|619
2013-11-08|1275
2013-11-09|990
2013-11-10|849
2013-11-11|1067
2013-11-12|2083
2013-11-13|2304
2013-11-14|1400
2013-11-15|752
2013-11-16|500
2013-11-17|343
2013-11-18|363
2013-11-19|1325
2013-11-20|1556
2013-11-21|1124
2013-11-22|407
2013-11-23|25
2013-11-24|3025
2013-11-25|4224
2013-11-26|1594
2013-11-27|975
2013-11-28|1111
2013-11-29|1237
2013-11-30|1437
2013-12-01|816
2013-12-02|721
2013-12-03|663
2013-12-04|663
2013-12-05|465
2013-12-06|637
2013-12-07|1074
2013-12-08|1635
2013-12-09|1499
2013-12-10|1507
2013-12-11|1820
2013-12-12|2367
2013-12-13|2106
2013-12-14|1763
2013-12-15|1148
2013-12-16|1545
2013-12-17|1516
2013-12-18|1317
2013-12-19|855
2013-12-20|530
2013-12-21|346
2013-12-22|278
2013-12-23|326
2013-12-24|876
2013-12-25|1201
2013-12-26|1088
2013-12-27|939
2013-12-28|622
2013-12-29|0
2013-12-30|1626
2013-12-31|1377
2014-01-01|1140
2014-01-02|2322
2014-01-03|3003
2014-01-04|3753
2014-01-05|1828
2014-01-06|1582
2014-01-07|5188
2014-01-08|4150
2014-01-09|2029
2014-01-10|1085
2014-01-11|595
2014-01-12|644
2014-01-13|673
2014-01-14|663
2014-01-15|679
2014-01-16|793
2014-01-17|741
2014-01-18|833
2014-01-19|1143
2014-01-20|1017
2014-01-21|2144
2014-01-22|3695
2014-01-23|3953
2014-01-24|3360
2014-01-25|2738
2014-01-26|1992
2014-01-27|1639
2014-01-28|2203
2014-01-29|1904
2014-01-30|2020
2014-01-31|1129
2014-02-01|944
2014-02-02|541
2014-02-03|1076
2014-02-04|934
2014-02-05|1155
2014-02-06|1319
2014-02-07|975
2014-02-08|1222
2014-02-09|1106
2014-02-10|1398
2014-02-11|2063
2014-02-12|1765
2014-02-13|1470
2014-02-14|835
2014-02-15|805
2014-02-16|875
2014-02-17|1246
2014-02-18|793
2014-02-19|653
2014-02-20|466
2014-02-21|605
2014-02-22|399
2014-02-23|384
2014-02-24|942
2014-02-25|1063
2014-02-26|1104
2014-02-27|1241
2014-02-28|1818
2014-03-01|1122
